Ticker;SimFinId;Date;Open;High;Low;Close;Adj. Close;Volume;Dividend;Shares Outstanding
A;45846;2025-03-07;125.95;128.10;124.40;126.70;126.70;2055012;;285102717
AA;367153;2025-03-07;32.25;33.38;31.84;32.84;32.84;4175139;;258884337
AAC;7962652;2023-11-06;10.77;10.79;10.77;10.79;10.79;599704;;98498541
AACI;11820349;2024-08-15;11.00;11.12;9.52;9.75;9.75;37879;;8072849
AAGH;12444287;2025-03-07;0.00;0.00;0.00;0.00;0.00;0;;21188988326
AAIC;9076064;2023-12-14;4.84;4.84;4.84;4.84;4.84;0;;28468000
AAL;68568;2025-03-07;13.13;13.18;12.58;13.03;13.03;76517490;;657575582
AAMC;847094;2024-09-16;1.33;1.34;1.21;1.25;1.25;18359;;2554512
AAME;450021;2025-03-07;1.43;1.46;1.41;1.41;1.41;5233;;20399758
AAN;441241;2024-10-03;10.08;10.10;10.08;10.09;10.09;2765717;;30712772
AAOI;671827;2025-03-07;15.92;16.21;14.91;15.82;15.82;3585692;;49651482
AAON;919501;2025-03-07;81.25;82.80;79.37;82.07;82.07;1590652;;81597289
AAP;184955;2025-03-07;33.50;35.60;33.08;35.37;35.37;3486441;;59792946
AAPL;111052;2025-03-07;235.10;241.37;234.76;239.07;239.07;45602641;;15022073000
AAT;919944;2025-03-07;21.43;21.59;21.03;21.33;21.33;313029;;60901583
AATP;16787005;2025-03-07;1.08;1.08;1.02;1.05;1.05;32342;;3848759
AAWH;2265764;2025-03-07;0.29;0.31;0.29;0.29;0.29;12441;;214430317
AAWW;762204;2023-04-03;102.48;102.48;102.48;102.48;102.48;1;;28436000
AB;11794966;2025-03-07;37.78;38.04;37.63;37.81;37.81;285659;;110530329
ABAX;36105;2018-08-01;83.00;83.00;83.00;83.00;83.00;0;;22871000
ABBV;61199;2025-03-07;211.11;214.99;209.00;214.29;214.29;6776077;;1765354859
ABCB;919504;2025-03-07;59.50;59.52;57.81;58.78;58.78;569263;;69068609
ABCD;358762;2018-12-18;14.48;14.48;14.48;14.48;14.48;0;;47300262
ABCL;1250893;2025-03-07;2.38;2.41;2.25;2.33;2.33;4297538;;297987669
ABEO;953884;2025-03-07;5.32;5.45;5.08;5.16;5.16;560702;;43471030
ABG;545489;2025-03-07;255.64;257.01;247.94;254.84;254.84;134273;;19645447
ABIO;953886;2024-08-30;2.35;2.47;2.22;2.40;2.40;289415;;14507143
ABM;199984;2025-03-07;52.16;54.90;52.16;54.64;54.64;398194;;62203371
ABMC;160965;2025-03-07;0.00;0.00;0.00;0.00;0.00;0;;48098476
ABMD;445587;2023-01-03;381.02;381.02;381.02;381.02;381.02;258;;45372000
ABML;11795344;2023-09-11;9.83;11.78;8.20;9.83;9.83;228892;;17808626
ABNB;1214552;2025-03-07;134.71;134.73;130.37;134.39;134.39;5600198;;635000000
ABOS;12444265;2025-03-07;1.24;1.27;1.21;1.25;1.25;109561;;60079778
ABR;638468;2025-03-07;11.81;12.33;11.67;12.23;12.23;5335925;0.43;189505422
ABSI;1250894;2025-03-07;3.10;3.23;3.03;3.12;3.12;2705643;;114855759
ABT;63877;2025-03-07;134.50;137.48;133.96;137.14;137.14;8204061;;1734323411
ABTI;13950744;2025-03-07;0.00;0.00;0.00;0.00;0.00;0;;1459502018
ABTL;445589;2022-08-31;0.39;0.39;0.39;0.39;0.39;98922;;13245871
ABTX;953887;2022-09-30;42.22;42.57;41.21;41.63;41.63;1609047;;20363000
ABUS;953888;2025-03-07;3.42;3.42;3.26;3.31;3.31;1191920;;189491685
ABVC;15112453;2025-03-07;0.64;0.66;0.62;0.64;0.64;199678;;12975492
AC;919941;2025-03-07;36.60;38.00;36.38;36.38;36.38;4330;;21237135
ACA;919864;2025-03-07;80.95;81.19;78.06;79.57;79.57;403721;;48776021
ACAC;15394174;2024-09-26;12.21;12.37;11.17;11.20;11.20;4203;;5799944
ACAD;445591;2025-03-07;17.62;17.86;17.32;17.56;17.56;1371928;;166788517
ACAH;10656706;2024-03-05;10.45;10.45;10.45;10.45;10.45;0;;33146619
ACAN;654226;2025-03-07;0.08;0.08;0.03;0.06;0.06;12651;;24391961
ACAQ;11819344;2023-10-19;7.40;8.00;2.40;2.55;2.55;935090;;3108936
ACAT;33956;2017-03-07;18.50;18.50;18.50;18.50;18.50;0;;13061818
ACBA;15585600;2024-05-30;12.03;12.03;12.03;12.03;12.03;0;;3789547
ACBI;9076197;2022-02-28;31.75;32.45;30.74;32.34;32.34;125822;;20305109
ACBM;12442266;2025-03-07;0.00;0.00;0.00;0.00;0.00;0;;47760000
ACC;445593;2022-08-09;65.37;65.46;65.37;65.42;65.42;18855710;;139237447
ACCD;10384289;2025-03-07;6.97;6.99;6.97;6.97;6.97;1760162;;80537080
ACCO;120923;2025-03-07;4.50;4.82;4.49;4.71;4.71;933504;;92881008
ACDC;17623433;2025-03-07;6.66;7.32;6.66;7.05;7.05;708665;;
ACEL;11795228;2025-03-07;10.17;10.26;9.88;10.14;10.14;402685;;83746192
ACER;1053636;2023-11-20;0.80;0.85;0.66;0.66;0.66;574675;;16089019
ACET;1154966;2025-03-07;0.82;0.85;0.79;0.80;0.80;436869;;82685750
ACET_delisted;191612;2019-10-01;0.08;0.11;0.08;0.11;0.11;4909;;30839470
ACFN;14864218;2025-03-07;18.35;18.35;18.35;18.35;18.35;442;;
ACGL;445596;2025-03-07;90.91;91.74;90.31;91.00;91.00;1073139;;375357236
ACHC;445598;2025-03-07;29.98;31.20;29.44;30.57;30.57;3319879;;92913042
ACHR;11795330;2025-03-07;7.50;7.66;7.02;7.52;7.52;24737318;;542470264
ACHV;12444293;2025-03-07;3.14;3.23;3.07;3.14;3.14;97644;;34389946
ACI;1077533;2025-03-07;20.87;21.50;20.86;21.46;21.46;11256211;;579348079
ACIA;353923;2021-03-01;114.99;114.99;114.99;114.99;114.99;0;;42631607
ACIC;774910;2025-03-07;12.04;12.32;11.77;12.01;12.01;128198;;48204962
ACIW;1057787;2025-03-07;52.78;53.69;51.60;53.21;53.21;552333;;105336028
ACLS;670942;2025-03-07;58.84;61.20;58.44;60.63;60.63;663163;;32154139
ACLX;1342109;2025-03-07;74.66;74.66;67.10;70.74;70.74;630670;;54944012
ACM;445606;2025-03-07;96.11;97.93;94.89;97.05;97.05;965692;;132689650
ACMR;7962770;2025-03-07;26.25;27.24;25.64;27.08;27.08;1576677;;63129704
ACN;61372;2025-03-07;339.00;342.89;335.91;342.18;342.18;4426186;;675181069
ACNB;9075814;2025-03-07;41.17;41.33;39.50;41.31;41.31;48355;;8548625
ACOR;9076152;2024-04-11;0.78;0.85;0.61;0.66;0.66;416928;;1242098
ACR;9076068;2025-03-07;20.79;21.25;20.56;21.13;21.13;46669;;7736907
ACRE;3241276;2025-03-07;4.77;4.96;4.76;4.92;4.92;342360;;54856977
ACRHF;16787003;2024-12-09;0.00;0.01;0.00;0.00;0.00;928456;;99860761
ACRO;11817111;2023-12-18;10.45;10.46;10.45;10.45;10.45;2538;;43125000
ACRS;7962714;2025-03-07;1.88;2.03;1.82;1.83;1.83;1197761;;107918821
ACRV;16682740;2025-03-07;5.58;5.58;5.31;5.54;5.54;11979;;31136296
ACRX;113247;2024-01-09;0.78;0.88;0.78;0.86;0.86;241277;;368868
ACST;13774410;2024-10-07;3.11;3.14;3.03;3.11;3.11;12261;;10139861
ACT;353702;2025-03-07;33.69;34.26;33.63;34.09;34.09;196358;;133600000
ACTG;9075846;2025-03-07;4.07;4.22;4.04;4.19;4.19;290970;;97368165
ACU;998436;2025-03-07;37.41;37.63;37.31;37.31;37.31;3650;;3754498
ACVA;11795016;2025-03-07;14.12;14.21;13.02;14.11;14.11;3177079;;168765167
ACW;671043;2016-11-28;2.58;2.58;2.58;2.58;2.58;0;;48323007
ACXP;11035138;2025-03-07;0.46;0.50;0.45;0.46;0.46;1180481;;16892548
ADAP;10656590;2025-03-07;0.49;0.52;0.47;0.48;0.48;441195;;1535299242
ADBE;14099;2025-03-07;442.00;452.51;440.99;449.40;449.40;3030404;;435300000
